A	B	C	D	E	F
0	2436	2518	3622	5136	1136
2436	0	1350	2876	5084	3172
2518	1350	0	1555	3735	2733
3622	2876	1555	0	2250	3337
5136	5084	3735	2250	0	4366
1136	3172	2733	3337	4366	0

A	B	C	D	E	F
0	2436	2518	3622	5136	1136
2436	0	1350	2876	5084	3172
2518	1350	0	1555	3735	2733
3622	2876	1555	0	2250	3337
5136	5084	3735	2250	0	4366
1136	3172	2733	3337	4366	0

A	B	C	D	E	F
0	2436	2518	3622	5136	1136
2436	0	1350	2876	5084	3172
2518	1350	0	1555	3735	2733
3622	2876	1555	0	2250	3337
5136	5084	3735	2250	0	4366
1136	3172	2733	3337	4366	0

A	B	C	D	E	F
0	2436	2518	3622	5136	1136
2436	0	1350	2876	5084	3172
2518	1350	0	1555	3735	2733
3622	2876	1555	0	2250	3337
5136	5084	3735	2250	0	4366
1136	3172	2733	3337	4366	0

A	B	C	D	E	F
0	2436	2518	3622	5136	1136
2436	0	1350	2876	5084	3172
2518	1350	0	1555	3735	2733
3622	2876	1555	0	2250	3337
5136	5084	3735	2250	0	4366
1136	3172	2733	3337	4366	0

A	B	C	D	E	F
0	2436	2518	3622	5136	1136
2436	0	1350	2876	5084	3172
2518	1350	0	1555	3735	2733
3622	2876	1555	0	2250	3337
5136	5084	3735	2250	0	4366
1136	3172	2733	3337	4366	0

A	B	C	D	E	F
0	2436	2518	3622	5136	1136
2436	0	1350	2876	5084	3172
2518	1350	0	1555	3735	2733
3622	2876	1555	0	2250	3337
5136	5084	3735	2250	0	4366
1136	3172	2733	3337	4366	0

END
